Items||||||||||||||||||
name|description|fixed|useCases|roomLimB|roomLimR|newItemAlone|newItemcomI|newItemComC|combineWithI|combineWithC|useAloneGood|useComIGood|useComCGood|disappears|eventAlone|eventAloneTo|eventComb|eventCombTo
magnetrod|A make shit fishing rod with a fridge magnet in place of the hook|false|2|false|||keycard||window|||You toss the magnet out the window and towards the keycard on the ground. It takes a few tries before you get it close enough that the magnet sticks to the card. You pull the card up to you and as you remove it from the magnet, the whole magnet rod falls apart in your hands. Oh well, you probably wont need it again.||true|||fishingDoing|fishingDone
coffeemaker|An old, barely functionning instant coffee maker|true|3|false||coffee||||||||false||||
coffee|A piping hot cup of coffee. Mmmmm…|false|2|false|||poisoncoffee||ratpoison|doctor||You combine the coffee and rat poison. This doesn’t feel like the healthiest drink.|You extend the cup of coffee to the doctor. He takes it impatiently and quickly downs the whole cup. You’re not sure how he didn’t burn himself, it was very hot. I don’t know if that did what I wanted it to.|true||||
poisoncoffee|A cup of poison coffee. Better not drink this!|false|2|false||||||doctor|You know you put poison into the coffee. You did it yourself. But you decide to drink the coffee anyways. I guess that’s one way to escape.||You extend the cup of coffee to the doctor. He takes it impatiently and quickly downs the whole cup. You’re not sure how he didn’t burn himself, it was very hot. You also aren’t sure how he didn’t taste all the chemicals you mixed into the coffee. He starts to convulse and begins to bleed profusely from most of his orifices. You look away in horror. Quickly the noises he is making subsides and when you look back, he is dead.|true|alive|die|doctorWaiting|doctorDead
roomkey|An employee key card. This looks like it could get you into some secured rooms.|false|1|true|l3Hallway2||||||The card slides through the card reader and a red light flickers to green above the patients door. It looks like you can go in there now. None of the other doors on this floor have card readers, so you throw the key card away.|||true|annabelleLocked|annabelleOpen||
button2|A button with the number 2 on it. There are some exposed metal connections on the back.|false|1|true|elevator||||||You press the number 2 button into the spot right below the 3 button on the elevator panel. The metal connections seem to snap right in place and the button lights up. You should be able to visit the second floor now.|||true|floor2Locked|floor2Open||
button1|A button with the number 1 on it. There are some exposed metal connections on the back.|false|1|true|elevator||||||Like with the number 2 button, the number 1 button snaps into place and lights up. You can now visit the first floor.|||true|floor1Locked|floor1Open||
keycard|A key card with the word “CLASSIFIED” plastered on the back. I wonder what this will open?|false|1|true|elevator||||||The keycard slides smoothly into the card slot. You don’t hear anything happen, but the basement button lights up. You can now visit the basement.|||true|basementLocked|basementOpen||
claw|There are three animals on the claw, a wolf, a goat and… a cabbage?. It looks like it might fit in somewhere. |false|1|true|skyrim||||||As you lift the claw towards the slot in the wall, it almost jumps out of your hand and into the wall of its own accord. The designs on the wall start to rotate until they all align and a doorway opens up into the room beyond.|||true|sewerLocked|swereOpen||
||||||||||||||||||
Inventory||||||||||||||||||
InventoryName|Items|||||||||||||||||
closetInv|ratpoison|||||||||||||||||
storageInv|crowbar|button2||||||||||||||||
l3Hallway2Inv|sedative|roomkey||||||||||||||||
forestInv|magicmushrooms|worms||||||||||||||||
loungeInv|coffeemaker|||||||||||||||||
doctorsInv|labcoat|||||||||||||||||
l1Hallway2Inv|window|magnet|keycard|||||||||||||||
spaceshipInv|button1|||||||||||||||||
playerInv||||||||||||||||||
||||||||||||||||||
Events||||||||||||||||||
EventName||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||,,||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
||||||||||||||||||
name|description|doorDescription|locked|inventory|key|exits|events|characters|fan|||||||||
startRoom|"You have woken up in an unusual place, eyes slowly coming to focus on the naked bulb above you. Your body feels heavy and your head is throbbing. Your nostrils fill with a stagnant smell. As you begin to slowly move yours eyes around the room, you notice something strange...there's no windows or natural light. You pull yourself up and notice a small metal rolling tray beside your bed, a chair in the corner and crack of light coming from the hallway. You place your feet on the hard cold floor. You limp out of the bed, holding one hand over the sharp shooting pain in your stomach, and using the other for balance. You push yourself off the wall near the door and suddenly, you feel you're hand is wet...it's a patch of fresh white paint. You take a closer look and notice the words written beneath it...""GET OUT BEFORE YOU LOSE YOURSELF!"""|White door|false|||l3Hallway1|Escaped|||||||||||
